Year,ADM1_NAME,ADM2_NAME,Stability Zone,Area_Sleikh,Area_Under_Trees,Area_Total,Production,Yield_kg_ha,Area_Rainfed,Production_Rainfed,Yield_Rainfed_kg_ha,Total_Production
,Damascus,An_Nabk,2,0,0,0,0,0,10,0,0,0
,Damascus,An_Nabk,3,0,0,0,0,0,15,6,400,6
,Damascus,At_Tall,2,2,0,2,7,3500,30,84,2800,91
,Damascus,At_Tall,3,1,0,1,4,4000,1,2,2000,6
,Homs,Homs,1,3734,0,3734,13367,3579.807177,9325,16291,1747.024129,29658
,Homs,Homs,2,118,0,118,460,3898.305085,660,693,1050,1153
,Homs,Homs,3,0,0,0,0,0,0,0,0,0
,Homs,Homs,4,60,0,60,191,3183.333333,0,0,0,191
,Homs,Homs,5,24,0,24,70,2916.666667,0,0,0,70
,Homs,Tall Kalakh,1,150,0,150,574,3826.666667,4067,7979,1961.88837,8553
,Homs,Ar_Rastan,1,3813,0,3813,14459,3792.027275,1599,1621,1013.758599,16080
,Homs,Ar_Rastan,2,18,0,18,68,3777.777778,599,694,1158.597663,762
,Homs,Al_Maghrim,2,48,0,48,183,3812.5,119,151,1268.907563,334
,Homs,Al_Maghrim,3,9,0,9,33,3666.666667,104,94,903.8461538,127
,Homs,Tadmor,5,2030,0,2030,15291,7532.512315,0,0,0,15291
,Homs,Al_Quasir,1,338,0,338,1752,5183.431953,1335,3749,2808.2397,5501
,Homs,Al_Quasir,2,2561,0,2561,12006,4688.012495,2474,6650,2687.954729,18656
,Homs,Al_Quasir,3,854,0,854,3512,4112.412178,1217,,0,3512
,Homs,Al_Quasir,4,56,0,56,230,4107.142857,,,0,230
,Hama,Hama,1,6065,0,6065,27814,4585.985161,5753,13765,2392.664697,41579
,Hama,Hama,2,4502,0,4502,17022,3780.986228,2669,4680,1753.465717,21702
,Hama,Hama,3,238,0,238,985,4138.655462,0,0,0,985
,Hama,Hama,4,195,0,195,860,4410.25641,0,0,0,860
,Hama,As_Salamiyeh,2,504,0,504,1661,3295.634921,2925,292,99.82905983,1953
,Hama,As_Salamiyeh,3,236,0,236,730,3093.220339,0,0,0,730
,Hama,As_Salamiyeh,4,244,0,244,757,3102.459016,0,0,0,757
,Hama,As_Salamiyeh,5,12,0,12,21,1750,0,0,0,21
,Hama,Masyaf,1,231,0,231,575,2489.177489,2313,2957,1278.426286,3532
,Hama,Muhradah,1,6655,0,6655,34073,5119.909842,314,1110,3535.031847,35183
,Hama,Al_Ghab,1,43585,0,43585,201823,4630.560973,3339,11721,3510.332435,213544
,Idleb,Idleb,1,8616,0,8616,41736,4844.011142,4988,14466,2900.160385,56202
,Idleb,Idleb,2,413,0,413,1673,4050.847458,30,74,2466.666667,1747
,Idleb,Harim,1,634,0,634,2869,4525.236593,1241,2737,2205.479452,5606
,Idleb,Al_Jisr_Ash_Shu,1,1294,0,1294,0,0,3822,10563,2763.736264,10563
,Idleb,Al_Ma'ra,1,2630,0,2630,9946,3781.749049,2340,6598,2819.65812,16544
,Idleb,Al_Ma'ra,2,2180,0,2180,10643,4882.110092,1123,2579,2296.527159,13222
,Idleb,Al_Ma'ra,3,530,0,530,1564,2950.943396,0,,0,1564
,Idleb,Ariha,1,1678,0,1678,7559,4504.76758,496,1155,2328.629032,8714
,Tartous,Tartous,1,280,0,280,562,2007.142857,255,266,1043.137255,828
,Tartous,Banyas,1,25,0,25,49,1960,5292,5424,1024.943311,5473
,Tartous,Safita,1,107,0,107,303,2831.775701,598,553,924.7491639,856
,Tartous,Dreikisch,1,0,0,0,0,0,446,393,881.1659193,393
,Tartous,Sheikh Badr,1,0,0,0,0,0,1163,931,800.5159071,931
,Lattakia,Lattakia,1,0,0,0,0,0,553,992,1793.851718,992
,Lattakia,Al-Hafa,1,0,0,0,0,0,1297,0,0,0
,Lattakia,Jablah,1,0,0,0,0,0,420,1352,3219.047619,1352
,Lattakia,Al_Qardaha,1,0,0,0,0,0,281,628,2234.875445,628
,Aleppo,A'zaz,1,3058,0,3058,12730,4162.851537,25118,23937,952.9819253,36667
,Aleppo,A'zaz,2,569,0,569,2452,4309.314587,2530,4248,1679.051383,6700
,Aleppo,Afrin,1,2816,0,2816,15265,5420.809659,6527,19222,2944.997702,34487
,Aleppo,Jarablus,2,493,0,493,2003,4062.880325,1142,0,0,2003
,Aleppo,Al-Bab,1,142,0,142,511,3598.591549,0,0,0,511
,Aleppo,Al-Bab,2,6889,0,6889,9396,1363.913485,0,0,0,9396
,Aleppo,Al-Bab,3,14,0,14,40,2857.142857,0,0,0,40
,Aleppo,Al-Bab,4,0,0,0,0,0,0,0,0,0
,Aleppo,Menbij,2,195,0,195,787,4035.897436,0,0,0,787
,Aleppo,Menbij,3,301,0,301,1325,4401.993355,0,0,0,1325
,Aleppo,Menbij,4,3828,0,3828,11174,2919.017764,0,0,0,11174
,Aleppo,Menbij,5,843,0,843,4479,5313.16726,0,0,0,4479
,Aleppo,Ain Al-Arab,2,2356,0,2356,10640,4516.129032,0,0,0,10640
,Aleppo,Ain Al-Arab,3,670,0,670,2948,4400,0,0,0,2948
,Aleppo,Jebel_Saman,1,3335,0,3335,13674,4100.149925,4461,7730,1732.795337,21404
,Aleppo,Jebel_Saman,2,13572,0,13572,52945,3901.046272,6828,7470,1094.024605,60415
,Aleppo,Jebel_Saman,3,626,0,626,2224,3552.715655,1806,216,119.6013289,2440
,Aleppo,Jebel_Saman,4,149,0,149,380,2550.33557,,,0,380
,Aleppo,As_Safira,2,2996,0,2996,15801,5274.032043,1831,626,341.8896778,16427
,Aleppo,As_Safira,3,3385,0,3385,19291,5698.966027,2138,2940,1375.116932,22231
,Aleppo,As_Safira,4,1051,0,1051,5964,5674.595623,0,0,0,5964
,Aleppo,Al_Atareb,1,2530,0,2530,7636,3018.181818,4080,4604,0,12240
,Aleppo,Der_Hafer,2,198,0,198,891,4500,0,0,0,891
,Aleppo,Der_Hafer,3,5052,0,5052,23133,4578.978622,0,0,0,23133
,Aleppo,Der_Hafer,4,2554,0,2554,0,0,0,0,0,0
,Raqqa,Raqqa,3,668,0,668,3831,5735.02994,0,0,0,3831
,Raqqa,Raqqa,4,13132,0,13132,72594,5528.02315,0,0,0,72594
,Raqqa,Raqqa,5,18515,0,18515,109757,5928.004321,28,0,0,109757
,Raqqa,Tell Abiad,2,15378,0,15378,87209,5671.02354,0,0,0,87209
,Raqqa,Tell Abiad,3,1956,0,1956,7363,3764.314928,0,0,0,7363
,Raqqa,Al-Thawrah,3,320,0,320,1448,4525,0,0,0,1448
,Raqqa,Al-Thawrah,4,297,0,297,1503,5060.606061,0,0,0,1503
,Raqqa,Al-Thawrah,5,5763,0,5763,33253,5770.085025,0,0,0,33253
,Dayr Az-Zor,Dayr Az-Zor,4,1512,0,1512,5526,3654.761905,0,0,0,5526
,Dayr Az-Zor,Dayr Az-Zor,5,30481,0,30481,133111,4367.015518,0,0,0,133111
,Dayr Az-Zor,Al-Mayadin,5,903,0,903,0,0,0,0,0,0
,Dayr Az-Zor,Abu Kamal,5,6842,0,6842,28969,4233.995908,0,0,0,28969
,Hassakeh,Hassakeh,1,1158,0,1158,2297,1983.592401,570,0,0,2297
,Hassakeh,Hassakeh,2,21377,0,21377,80377,3759.975675,17043,0,0,80377
,Hassakeh,Hassakeh,3,6087,0,6087,11807,1939.707574,1929,0,0,11807
,Hassakeh,Hassakeh,4,4222,0,4222,15393,3645.902416,681,0,0,15393
,Hassakeh,Hassakeh,5,6612,0,6612,23341,3530.096794,0,0,0,23341
,Hassakeh,Quamishli,1,24282,0,24282,103563,4265.011119,56420,18449,326.9939738,122012
,Hassakeh,Quamishli,2,2837,0,2837,11467,4041.945717,3836,1074,279.9791449,12541
,Hassakeh,Quamishli,3,288,0,288,1158,4020.833333,0,,0,1158
,Hassakeh,Al-Malika,1,7551,0,7551,13138,1739.902,24995,20771,831.0062012,33909
,Hassakeh,Al-Malika,2,515,0,515,876,1700.970874,2610,1788,685.0574713,2664
,Hassakeh,Al-Malika,3,100,0,100,0,0,880,0,0,0
,Hassakeh,Ras Al-Ain,1,16345,0,16345,75677,4629.978587,4434,1583,357.0139829,77260
,Hassakeh,Ras Al-Ain,2,32993,0,32993,142332,4314.006001,7480,232,31.01604278,142564
,Hassakeh,Ras Al-Ain,3,460,0,460,1955,4250,4290,0,0,1955
2015,As_Suweida,As_Suwayda,1,0,0,0,0,0,1349,1349,1000,1349
,As_Suweida,As_Suwayda,2,141,0,141,635,4503.546099,10135,9121,899.950666,9756
,As_Suweida,Shahba,2,1,0,1,5,5000,4600,2418,525.6521739,2423
,As_Suweida,Shahba,3,0,0,0,0,0,790,265,335.443038,265
,As_Suweida,Salkhad,2,9,0,9,22,2444.444444,11753,10307,876.9675827,10329
,As_Suweida,Salkhad,3,0,0,0,0,0,250,125,500,125
,Dara,Dara,1,2019,0,2019,7067,3500.247647,4026,4429,1100.099354,11496
,Dara,Dara,2,6185,0,6185,20384,3295.715441,17461,8849,506.7865529,29233
,Dara,Dara,3,170,0,170,475,2794.117647,7700,1540,200,2015
,Dara,Izra',2,650,0,650,2080,3200,6250,2344,375.04,4424
,Dara,Izra',3,10,0,10,30,3000,65,0,0,30
,Dara,As_Sanamayn,1,1150,0,1150,3795,3300,4430,4430,1000,8225
,Dara,As_Sanamayn,2,496,0,496,1587,3199.596774,1722,964,559.8141696,2551
,Dara,As_Sanamayn,3,151,0,151,453,3000,6046,1814,300.0330797,2267
,Dara,As_Sanamayn,4,69,0,69,206,2985.507246,0,0,0,206
,Al_Qunaytirah,Al_Qunaytirah,1,140,0,140,316,2257.142857,300,375,1250,691
,Damascus,Duma,5,400,0,400,933,2332.5,0,0,0,933
,Damascus,Darayya,3,11,0,11,38,3454.545455,0,0,0,38
,Damascus,Darayya,4,10,0,10,35,3500,0,0,0,35
,Damascus,Darayya,5,170,0,170,595,3500,0,0,0,595
,Damascus,Qatana,1,563,0,563,1513,2687.388988,247,226,914.9797571,1739
,Damascus,Qatana,2,751,0,751,1886,2511.318242,554,565,1019.855596,2451
,Damascus,Qatana,3,234,0,234,647,2764.957265,156,0,0,647
,Damascus,Az_Zabdani,1,15,0,15,6,400,24,,0,6
,Damascus,Yabrud,2,10,0,10,25,2500,38,0,0,25
,Damascus,Yabrud,3,5,0,5,13,2600,16,0,0,13
,Damascus,Al_Qutayfah,5,83,0,83,61,734.939759,0,,0,61
,Damascus,Al_Ghutta,3,355,0,355,945,2661.971831,203,290,1428.571429,1235
,Damascus,Al_Ghutta,4,89,0,89,267,3000,0,0,0,267
,Damascus,Al_Ghutta,5,94,0,94,292,3106.382979,0,0,0,292
,Damascus,At_Tall,2,1,0,1,3,3000,26,12,461.5384615,15
,Damascus,At_Tall,3,2,0,2,2,1000,1,0,0,2
,Homs,Homs,1,1277,0,1277,2916,2283.476899,6427,6219,967.6365334,9135
,Homs,Homs,2,50,0,50,174,3480,329,481,1462.006079,655
,Homs,Homs,3,,,0,0,0,,,0,0
,Homs,Homs,4,39,0,39,57,1461.538462,0,0,0,57
,Homs,Homs,5,,,0,0,0,,,0,0
,Homs,Tall Kalakh,1,934,0,934,3269,3500,3482,5223,1500,8492
,Homs,Ar_Rastan,1,3198,0,3198,6000,1876.172608,1200,2000,1666.666667,8000
